Specimen,Genus,species,Site,Age,tooth,Wear_stage,ariaDNE_10000_EEC_ep_02,ariaDNE_10000_EEC_ep_04,ariaDNE_10000_EEC_ep_06,ariaDNE_10000_EEC_ep_08,ariaDNE_10000_EEC_ep_10,ariaDNE_10000_EEC_ep_12,ariaDNE_10000_BCO_ep_02,ariaDNE_10000_BCO_ep_04,ariaDNE_10000_BCO_ep_06,ariaDNE_10000_BCO_ep_08,ariaDNE_10000_BCO_ep_10,ariaDNE_10000_BCO_ep_12,ariaDNE_20000_EEC_ep_02,ariaDNE_20000_EEC_ep_04,ariaDNE_20000_EEC_ep_06,ariaDNE_20000_EEC_ep_08,ariaDNE_20000_EEC_ep_10,ariaDNE_20000_EEC_ep_12,ariaDNE_20000_BCO_ep_02,ariaDNE_20000_BCO_ep_04,ariaDNE_20000_BCO_ep_06,ariaDNE_20000_BCO_ep_08,ariaDNE_20000_BCO_ep_10,ariaDNE_20000_BCO_ep_12
MLD2,Australopithecus,africanus,Makapansgat,3,LLM2,1,0.01198,0.03064,0.05061,0.07143,0.09187,0.1103,0.01333,0.03361,0.05273,0.07,0.08569,0.09993,0.01388,0.03437,0.05489,0.07554,0.09593,0.1157,0.01668,0.03992,0.0595,0.07823,0.09595,0.1111
STW 3,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.4,0.01526,0.03744,0.05756,0.07488,0.0937,0.1117,0.01839,0.04493,0.06645,0.0837,0.09448,0.1036,0.0201,0.04393,0.06523,0.08424,0.1042,0.1217,0.02164,0.04952,0.06987,0.08731,0.09985,0.1109
STW 109,Australopithecus,africanus,Sterkfontein,2.55,LRM2,3.8,0.005366,0.01624,0.02901,0.04263,0.0566,0.07026,0.005608,0.01605,0.02637,0.03508,0.04199,0.04691,0.006504,0.01764,0.02982,0.04288,0.0565,0.07004,0.007203,0.01804,0.02735,0.03525,0.04166,0.04671
STW 133,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.6,0.01116,0.02941,0.04489,0.05689,0.06645,0.075,0.008395,0.02368,0.03925,0.0546,0.06999,0.08595,0.023,0.05428,0.08079,0.1035,0.1269,0.1486,0.01157,0.02749,0.04187,0.05681,0.07334,0.09025
STW 213,Australopithecus,africanus,Sterkfontein,2.55,LLM2,3.6,0.009704,0.02646,0.0423,0.05511,0.06578,0.07574,0.007714,0.02233,0.03784,0.05401,0.06962,0.08501,0.01255,0.0305,0.0453,0.05797,0.06934,0.07996,0.009788,0.02515,0.04023,0.05587,0.07126,0.08643
STW 234,Australopithecus,africanus,Sterkfontein,2.55,LRM2,3.6,0.007015,0.01996,0.03403,0.04844,0.06343,0.07851,0.007564,0.0202,0.03239,0.04316,0.05308,0.06222,0.008603,0.02167,0.0352,0.04951,0.0644,0.07972,0.009137,0.02183,0.03322,0.04369,0.05266,0.06364
STW 295,Australopithecus,africanus,Sterkfontein,2.55,LLM2,5.2,0.006718,0.02009,0.03421,0.04856,0.06304,0.07746,0.006314,0.01827,0.02815,0.03614,0.04607,0.05906,0.008162,0.02192,0.03541,0.04925,0.06362,0.07814,0.007285,0.01931,0.02774,0.03805,0.04903,0.05998
STW 308,Australopithecus,africanus,Sterkfontein,2.55,LRM2,1,0.01467,0.03804,0.05898,0.07686,0.09281,0.1065,0.0126,0.03291,0.05176,0.0694,0.08665,0.1045,0.01939,0.04442,0.06502,0.08377,0.1006,0.1171,0.01679,0.03851,0.05734,0.07623,0.09651,0.1153
STW 327,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.4,0.009143,0.0255,0.04111,0.05542,0.07004,0.08415,0.01128,0.03103,0.04827,0.06128,0.07241,0.08068,0.01216,0.02916,0.04339,0.05828,0.07353,0.08948,0.0151,0.03617,0.05174,0.06412,0.07577,0.08469
STW 412A,Australopithecus,africanus,Sterkfontein,2.55,LRM2,1,0.01833,0.04766,0.07441,0.09757,0.119,0.1403,0.01512,0.03971,0.06276,0.08412,0.1069,0.1265,0.01157,0.02749,0.04187,0.05681,0.07334,0.09025,0.01962,0.04595,0.06881,0.09166,0.1158,0.1365
STW412B,Australopithecus,africanus,Sterkfontein,2.55,LLM2,,0.01496,0.03951,0.06312,0.08556,0.109,0.1328,0.01808,0.04663,0.07394,0.09896,0.1219,0.1428,0.01862,0.04472,0.06918,0.09295,0.1175,0.1413,0.02196,0.05215,0.0786,0.1036,0.1269,0.1491
STW 424,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1,0.01398,0.0359,0.056,0.07512,0.0962,0.1158,0.01841,0.04502,0.0666,0.08526,0.1043,0.1247,0.01907,0.04303,0.06351,0.08537,0.1069,0.1263,0.03554,0.06206,0.08446,0.1038,0.1221,0.1399
STW 498c,Australopithecus,africanus,Sterkfontein,2.55,LLM2,3.6,0.005471,0.01721,0.03179,0.04802,0.06514,0.08238,0.004666,0.01377,0.02328,0.03154,0.03821,0.04434,0.006446,0.01822,0.03214,0.04782,0.06446,0.08125,0.005488,0.01459,0.02322,0.03045,0.03647,0.04258
STW 534,Australopithecus,africanus,Sterkfontein,2.55,LLM2,3,0.007024,0.02083,0.03584,0.05077,0.06563,0.08066,0.00745,0.02096,0.03327,0.04263,0.04986,0.05723,0.008494,0.02256,0.03694,0.05126,0.06592,0.08081,0.00937,0.02327,0.03444,0.04293,0.05162,0.06005
STW 540,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.6,0.009949,0.02647,0.04233,0.05746,0.07255,0.08649,0.01208,0.03091,0.04715,0.06054,0.07292,0.08263,0.01324,0.03019,0.04637,0.06148,0.07638,0.09084,0.01579,0.03536,0.05044,0.06384,0.07668,0.0865
STW 555,Australopithecus,africanus,Sterkfontein,2.55,LLM2,3.8,0.007498,0.02174,0.03748,0.05342,0.06931,0.08561,0.006949,0.02003,0.03299,0.04356,0.05488,0.06745,0.008893,0.02356,0.03883,0.05415,0.07006,0.08636,0.008,0.02124,0.03311,0.0427,0.05426,0.06821
STW 560D,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.6,0.0121,0.03128,0.04828,0.06406,0.08018,0.09538,0.01804,0.04306,0.06229,0.07936,0.09457,0.1073,0.01757,0.03791,0.05606,0.07493,0.09325,0.1104,0.02568,0.05323,0.07293,0.09382,0.1116,0.1261
STW560E,Australopithecus,africanus,Sterkfontein,2.55,LRM2,,0.01684,0.04168,0.06269,0.08058,0.09817,0.1134,0.01201,0.03147,0.04982,0.06679,0.08531,0.1017,0.02225,0.04972,0.07089,0.09226,0.1109,0.1253,0.01719,0.03819,0.05734,0.07754,0.09561,0.1123
Sts52b,Australopithecus,africanus,Sterkfontein,2.55,LLM2,2.6,0.01272,0.03244,0.05097,0.06828,0.08321,0.09875,0.01056,0.02741,0.04449,0.06174,0.07912,0.09631,0.01434,0.03555,0.05463,0.07177,0.0871,0.1025,0.01306,0.03076,0.04817,0.06584,0.0831,0.09937
DHN8,Paranthropus,robustus,Drimolen,1.75,LLM2,3.8,0.007064,0.01993,0.03415,0.04914,0.06457,0.08027,0.009211,0.02337,0.03544,0.0449,0.05387,0.0609,0.009499,0.02265,0.03638,0.05109,0.06658,0.08208,0.01248,0.02821,0.04118,0.05196,0.0622,0.07071
DHN60c,Paranthropus,robustus,Drimolen,1.75,LRM2,1,0.01346,0.03502,0.05737,0.07954,0.1029,0.1253,0.01676,0.04309,0.06773,0.09067,0.1118,0.132,0.01652,0.03934,0.06162,0.08499,0.1096,0.1309,0.01999,0.04801,0.07242,0.09605,0.1176,0.1384
GDA2,Paranthropus,robustus,Gondolin,1.8,LLM2,4.4,0.006226,0.0189,0.03361,0.04911,0.06503,0.08116,0.005132,0.01394,0.02181,0.02892,0.03534,0.04155,0.007141,0.02002,0.03443,0.04983,0.06548,0.08119,0.006056,0.015,0.02315,0.03104,0.03766,0.04364
Sk1,Paranthropus,robustus,Swartkrans,1.95,LLM2,1.6,0.01698,0.04115,0.06355,0.08402,0.1052,0.1262,0.01018,0.02857,0.04805,0.06751,0.08858,0.1096,0.02107,0.04735,0.07009,0.09286,0.1157,0.1355,0.01357,0.03373,0.05386,0.07511,0.09758,0.1182
SK1586,Paranthropus,robustus,Swartkrans,1.95,LRM2,5.2,0.006371,0.01979,0.03542,0.05115,0.06681,0.08225,0.007391,0.02098,0.03425,0.04553,0.05381,0.0647,0.007289,0.02146,0.0363,0.05154,0.06712,0.082,0.008088,0.02179,0.03387,0.04319,0.0502,0.06262
SK1587B,Paranthropus,robustus,Swartkrans,1.95,LRM2,3,0.01408,0.03563,0.05483,0.07169,0.08787,0.1032,0.01145,0.02995,0.04767,0.06618,0.08499,0.1022,0.01733,0.04016,0.059,0.07763,0.09516,0.1113,0.01232,0.03104,0.04825,0.06701,0.08589,0.1046
SK23,Paranthropus,robustus,Swartkrans,1.95,LRM2,4,0.007071,0.02031,0.03529,0.05146,0.06902,0.08753,0.007994,0.02112,0.0327,0.04334,0.05522,0.06613,0.008735,0.02227,0.03704,0.05387,0.07179,0.09059,0.01028,0.0238,0.03511,0.04756,0.05958,0.0712
SK25,Paranthropus,robustus,Swartkrans,1.95,LRM2,1,0.01839,0.04453,0.06677,0.08757,0.1053,0.122,0.01394,0.03381,0.05299,0.07417,0.09627,0.1173,0.022,0.04948,0.07267,0.09401,0.1129,0.1302,0.01763,0.03826,0.05943,0.08122,0.1037,0.1236
SK55b,Paranthropus,robustus,Swartkrans,1.95,LRM2,1.6,0.01879,0.04463,0.06601,0.088,0.1055,0.1212,0.01351,0.03217,0.04929,0.06763,0.08731,0.1074,0.0233,0.05093,0.07408,0.09908,0.1181,0.1335,0.01748,0.03951,0.06131,0.08263,0.1042,0.1244
Sk6,Paranthropus,robustus,Swartkrans,1.95,LRM2,2.8,0.01265,0.03223,0.05077,0.06852,0.08638,0.1018,0.01032,0.02788,0.04594,0.06399,0.08303,0.1024,0.01632,0.03744,0.05558,0.07433,0.09263,0.11,0.01348,0.03213,0.05048,0.07016,0.09055,0.1102
SK843,Paranthropus,robustus,Swartkrans,1.95,LLM2,2.8,0.01314,0.0329,0.05099,0.06678,0.08531,0.1016,0.01048,0.02767,0.04508,0.0637,0.08381,0.1035,0.01688,0.03806,0.0553,0.07282,0.09346,0.1093,0.0134,0.03124,0.04809,0.06927,0.08971,0.1088
SK858,Paranthropus,robustus,Swartkrans,1.95,LRM2,4,0.009708,0.02593,0.0411,0.05273,0.06194,0.07071,0.007878,0.02199,0.03706,0.05255,0.06873,0.08537,0.01233,0.03009,0.04395,0.05591,0.06729,0.0768,0.00982,0.02496,0.0391,0.0548,0.07152,0.0881
SKW5,Paranthropus,robustus,Swartkrans,1.95,LLM2,3,0.01548,0.03816,0.05891,0.07851,0.09774,0.1163,0.01199,0.03085,0.05027,0.07116,0.09344,0.1144,0.0183,0.04206,0.06352,0.08452,0.1045,0.1226,0.01484,0.03485,0.05481,0.07726,0.09976,0.1203
SKX4446,Paranthropus,robustus,Swartkrans,1.39,LRM2,1.4,0.02004,0.04799,0.07337,0.0974,0.1193,0.1383,0.01459,0.03662,0.05917,0.08144,0.1042,0.1254,0.025,0.05565,0.08331,0.1103,0.1324,0.1508,0.01964,0.04444,0.06912,0.09362,0.1167,0.1367
TM1600,Paranthropus,robustus,Kromdraai,1.75,LLM2,4,0.005364,0.01619,0.0285,0.04135,0.05477,0.06862,0.00608,0.01599,0.02323,0.02776,0.03121,0.03534,0.006782,0.01781,0.02939,0.04172,0.05489,0.06865,0.008165,0.01869,0.02487,0.02909,0.03347,0.03798
U.W. 101-145,Homo ,naledi,Rising star,0.2,LLM2,1,0.01161,0.03166,0.0537,0.07708,0.1026,0.127,0.0137,0.03531,0.05877,0.08117,0.1039,0.1263,0.01292,0.03376,0.05583,0.0796,0.1052,0.1289,0.01532,0.03818,0.06167,0.08435,0.1073,0.1295
U.W. 101-284,Homo ,naledi,Rising star,0.2,LLM2,3,0.009869,0.02638,0.04488,0.06515,0.08633,0.1076,0.0104,0.02647,0.04278,0.05848,0.07412,0.08856,0.01177,0.02914,0.04765,0.06812,0.08949,0.1106,0.01166,0.02893,0.0455,0.06141,0.0768,0.09123
U.W. 101-307,Homo ,naledi,Rising star,0.2,LRM2,1,0.01224,0.03257,0.05474,0.07789,0.1032,0.1273,0.01501,0.03816,0.06279,0.08742,0.1111,0.1338,0.01395,0.03505,0.05734,0.08211,0.1069,0.1299,0.01639,0.04108,0.06597,0.09065,0.1151,0.1394
U.W. 101-377,Homo ,naledi,Rising star,0.2,LRM2,1,0.01007,0.02824,0.04871,0.06968,0.09138,0.1133,0.01214,0.03139,0.05117,0.07009,0.08764,0.1043,0.01197,0.03045,0.05056,0.07158,0.09407,0.1166,0.01449,0.03579,0.05535,0.07349,0.09218,0.1102
U.W. 101-507,Homo ,naledi,Rising star,0.2,LRM2,1,0.01207,0.03168,0.05316,0.0751,0.09937,0.1231,0.01536,0.03814,0.06157,0.08439,0.1062,0.1255,0.01408,0.03483,0.05651,0.08051,0.1044,0.1273,0.0171,0.04191,0.06552,0.08908,0.1121,0.1324
U.W. 101-789,Homo ,naledi,Rising star,0.2,LLM2,1.2,0.01195,0.03203,0.05485,0.0795,0.1054,0.1312,0.01444,0.03651,0.05911,0.08195,0.105,0.1266,0.01403,0.03478,0.05716,0.08225,0.1081,0.1335,0.01643,0.03976,0.06249,0.08554,0.1092,0.1308
U.W. 101-1142,Homo ,naledi,Rising star,0.2,LRM2,4,0.005789,0.01762,0.03239,0.04863,0.06609,0.08353,0.005811,0.01561,0.02528,0.03293,0.04042,0.04873,0.006297,0.01808,0.03218,0.04734,0.06336,0.08014,0.007075,0.01765,0.02696,0.03493,0.04418,0.05336
U.W. 101-1283,Homo ,naledi,Rising star,0.2,LRM2,3.2,0.007829,0.02165,0.03763,0.05527,0.07379,0.09278,0.008904,0.02235,0.03555,0.04697,0.05718,0.06521,0.008909,0.02287,0.0383,0.05499,0.07285,0.09101,0.01054,0.02546,0.03889,0.05125,0.06165,0.07007
STW80,Homo ,sp.,Sterkfontein,1.2,LLM2,3.8,0.005757,0.01651,0.02898,0.04215,0.05564,0.06892,0.005893,0.01631,0.02746,0.03693,0.04544,0.05384,0.006484,0.01739,0.02934,0.0418,0.05432,0.06713,0.006852,0.01831,0.02899,0.03779,0.04719,0.0564
Cave of hearts,Homo ,sp.,Cave of hearts,,LRM2,1.8,0.007578,0.02145,0.03612,0.05173,0.06848,0.08562,0.01028,0.02826,0.04437,0.05756,0.07055,0.08289,0.01019,0.02547,0.0397,0.05556,0.07276,0.09074,0.01345,0.0329,0.04801,0.06161,0.07675,0.08858
SK15,Homo ,sp.,Swartkrans,,LRM2,4.2,0.007284,0.01918,0.03262,0.04786,0.06164,0.07542,0.006411,0.01502,0.02047,0.02267,0.02587,0.02793,0.008916,0.02075,0.03324,0.04839,0.06329,0.07786,0.008252,0.01767,0.02173,0.02465,0.0281,0.03006
